Number of Threads, Number of Numnodes, the total volume, Megatrials per Second
1,100,6.4644046,    3.62
1,200,6.4761238,    3.61
1,400,6.4801974,    3.55
1,600,6.4819765,    3.56
1,800,6.4845700,    3.56
1,1000,6.4885488,    3.62
1,1500,6.5042162,    3.66
1,2000,6.5402517,    3.68
1,3000,6.6486855,    3.60
1,4000,6.8581643,    3.62

2,100,6.4644079,    7.24
2,200,6.4761252,    7.19
2,400,6.4798603,    7.12
2,600,6.4813194,    7.11
2,800,6.4823575,    7.10
2,1000,6.4837108,    7.13
2,1500,6.4886594,    7.12
2,2000,6.5026803,    7.12
2,3000,6.5487642,    7.12
2,4000,6.6341262,    7.13

4,100,6.4643946,   14.13
4,200,6.4761076,   14.06
4,400,6.4798460,   14.01
4,600,6.4810724,   14.00
4,800,6.4815640,   13.99
4,1000,6.4825373,   14.03
4,1500,6.4850054,   14.02
4,2000,6.4913969,   14.04
4,3000,6.5083537,   14.07
4,4000,6.5108371,   14.09

16,100,6.4643984,   40.38
16,200,6.4760828,   41.07
16,400,6.4798179,   41.47
16,600,6.4808092,   40.07
16,800,6.4813123,   39.52
16,1000,6.4816017,   39.84
16,1500,6.4820313,   25.95
16,2000,6.4832883,   22.70
16,3000,6.4843884,   23.44
16,4000,6.4887710,   25.36

32,100,6.4643955,   13.56
32,200,6.4760947,   18.64
32,400,6.4798117,   24.82
32,600,6.4808035,   42.72
32,800,6.4811907,   42.25
32,1000,6.4814935,   30.61
32,1500,6.4818158,   26.12
32,2000,6.4821954,   27.15
32,3000,6.4828253,   32.07
32,4000,6.4853125,   43.55

64,100,6.4643931,   22.51
64,200,6.4760847,   29.78
64,400,6.4797931,   42.79
64,600,6.4807959,   44.54
64,800,6.4811912,   42.87
64,1000,6.4814677,   29.10
64,1500,6.4817319,   28.94
64,2000,6.4819121,   33.40
64,3000,6.4822373,   44.70
64,4000,6.4827695,   51.07

