     16384	        16	  484.8485	42.493 %
     16384	        32	  484.8485	42.194 %
     16384	        64	  484.8485	42.108 %
     16384	       128	  615.3846	42.065 %
     32768	        16	 1127.7533	41.672 %
     32768	        32	  810.1266	42.459 %
     32768	        64	  972.4597	42.633 %
     32768	       128	 1029.1457	41.962 %
     65536	        16	 1793.3451	41.962 %
     65536	        32	 1963.5666	42.078 %
     65536	        64	 2039.8407	42.235 %
     65536	       128	 1773.1603	41.847 %
    131072	        16	 2752.6881	42.194 %
    131072	        32	 2925.7144	42.040 %
    131072	        64	 3946.0501	41.980 %
    131072	       128	 3465.3129	42.250 %
    262144	        16	 4311.5789	41.954 %
    262144	        32	 5680.9985	41.885 %
    262144	        64	 6989.7613	41.968 %
    262144	       128	 7211.2674	41.846 %
    524288	        16	 5934.0817	41.950 %
    524288	        32	 8775.5757	42.019 %
    524288	        64	 8511.1689	41.947 %
    524288	       128	 8789.6996	41.944 %
   1048576	        16	 7445.5802	42.043 %
   1048576	        32	10680.5734	42.108 %
   1048576	        64	16532.7955	42.071 %
   1048576	       128	18429.6959	42.014 %



     16384	        16	  470.5882	42.041 %
     16384	        32	  484.8485	41.595 %
     16384	        64	  533.3333	41.943 %
     16384	       128	  571.4286	42.145 %
     32768	        16	  975.2381	42.050 %
     32768	        32	 1084.7457	41.739 %
     32768	        64	 1113.0435	41.891 %
     32768	       128	 1119.1257	42.184 %
     65536	        16	 1807.5904	42.235 %
     65536	        32	 1992.2178	42.241 %
     65536	        64	 2109.1658	42.067 %
     65536	       128	 2245.6140	42.056 %
    131072	        16	 3093.6557	41.662 %
    131072	        32	 3653.8803	41.948 %
    131072	        64	 3915.8698	41.964 %
    131072	       128	 4031.4959	42.036 %
    262144	        16	 4620.4174	41.985 %
    262144	        32	 5914.8016	42.054 %
    262144	        64	 7043.8521	41.896 %
    262144	       128	 7353.6805	42.014 %
    524288	        16	 6108.8741	42.102 %
    524288	        32	 8701.0089	42.090 %
    524288	        64	11025.5718	42.035 %
    524288	       128	11898.3296	42.002 %
   1048576	        16	 7391.8340	42.072 %
   1048576	        32	11842.4281	42.021 %
   1048576	        64	16351.2983	41.992 %
   1048576	       128	15566.7461	42.024 %



     16384	        16	  551.7241	41.748 %
     16384	        32	  551.7241	41.736 %
     16384	        64	  533.3333	42.053 %
     16384	       128	  571.4286	42.664 %
     32768	        16	  970.6161	42.307 %
     32768	        32	  957.0093	41.385 %
     32768	        64	  988.4170	42.010 %
     32768	       128	 1073.3753	42.502 %
     65536	        16	 1843.3844	42.087 %
     65536	        32	 2128.8981	41.862 %
     65536	        64	 2122.2798	42.021 %
     65536	       128	 2007.8432	41.985 %
    131072	        16	 2921.5407	42.073 %
    131072	        32	 2274.2921	42.010 %
    131072	        64	 3946.0501	41.915 %
    131072	       128	 4059.4648	41.946 %
    262144	        16	 4850.2071	42.198 %
    262144	        32	 5809.9290	41.999 %
    262144	        64	 7677.6009	41.844 %
    262144	       128	 7236.7491	42.163 %
    524288	        16	 6010.2714	42.055 %
    524288	        32	 8865.8009	41.901 %
    524288	        64	10604.5307	42.002 %
    524288	       128	 8316.7508	42.007 %
   1048576	        16	 7216.0319	42.108 %
   1048576	        32	10546.5082	42.012 %
   1048576	        64	13908.3191	42.003 %
   1048576	       128	16684.3173	41.944 %


     16384	        16	  551.7241	42.230 %
     16384	        32	  571.4286	42.389 %
     16384	        64	  592.5926	42.548 %
     16384	       128	  571.4286	42.010 %
     32768	        16	  945.5217	42.300 %
     32768	        32	 1070.0104	41.864 %
     32768	        64	 1082.4524	41.684 %
     32768	       128	 1113.0435	42.508 %
     65536	        16	 1787.0855	42.023 %
     65536	        32	 1973.0251	42.137 %
     65536	        64	 2122.2798	41.966 %
     65536	       128	 2146.7506	41.678 %
    131072	        16	 3025.1109	42.163 %
    131072	        32	 3248.2156	42.192 %
    131072	        64	 3942.2522	41.963 %
    131072	       128	 4079.6814	41.867 %
    262144	        16	 4576.5363	41.904 %
    262144	        32	 5855.6114	42.032 %
    262144	        64	 6971.9150	42.086 %
    262144	       128	 7440.5086	42.048 %
    524288	        16	 6056.9314	41.853 %
    524288	        32	 8832.3448	42.135 %
    524288	        64	11055.3307	42.050 %
    524288	       128	11821.0682	41.981 %
   1048576	        16	 7435.4440	42.078 %
   1048576	        32	11842.4281	41.950 %
   1048576	        64	16882.0196	42.052 %
   1048576	       128	15319.3082	42.042 %
